date,cases,deaths,country,population,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2019-12-31,0,0,Belgium,11455519,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2020-01-01,0,0,Belgium,11455519,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2020-01-02,0,0,Belgium,11455519,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2020-01-03,0,0,Belgium,11455519,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2020-01-04,0,0,Belgium,11455519,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2020-01-05,0,0,Belgium,11455519,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2020-01-06,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-07,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-08,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-09,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-10,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-11,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-12,0,0,Belgium,11455519,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
2020-01-13,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,Belgium,11455519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
