date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,dosen_erst_kumulativ,dosen_zweit_kumulativ,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,23453,23453,23436,17,23451,2,0,23436,17,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,23453,0,0,23434,17,2,0,0,0,23436,17,23451,23434,17,2,2,0,0,0,0,0,10705,8657,1305,12604,23453,0,NA,NA,NA,NA,NA
2020-12-28,41272,17819,17679,140,41270,2,0,41115,157,0,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,41272,0,0,41113,157,2,0,0,0,41115,157,17819,17679,140,0,0,0,0,0,0,0,7916,7131,686,8740,17819,0,NA,NA,NA,NA,NA
2020-12-29,90721,49449,48725,724,90718,2,1,89840,881,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,90721,0,0,89837,881,2,0,1,0,89840,881,49448,48724,724,0,0,0,1,1,0,0,16368,24946,1116,19164,49449,0,NA,NA,NA,NA,NA
2020-12-30,153511,62790,62662,128,153508,2,1,152502,1009,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,153511,0,0,152499,1009,2,0,1,0,152502,1009,62790,62662,128,0,0,0,0,0,0,0,20521,32631,1794,22698,62790,0,NA,NA,NA,NA,NA
2020-12-31,202706,49195,49046,149,202703,2,1,201548,1158,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,202706,0,0,201545,1158,2,0,1,0,201548,1158,49195,49046,149,0,0,0,0,0,0,0,17321,23354,1851,20759,49195,0,NA,NA,NA,NA,NA
2021-01-01,227919,25213,25199,14,227908,7,4,226747,1172,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,227919,0,0,226737,1171,7,0,3,1,226747,1172,25205,25192,13,5,5,0,3,2,1,0,8377,8730,1078,8336,25213,0,NA,NA,NA,NA,NA
2021-01-02,275574,47655,47369,286,275563,7,4,274116,1458,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,275574,0,0,274106,1457,7,0,3,1,274116,1458,47655,47369,286,0,0,0,0,0,0,0,21566,24282,2520,20957,47655,0,275574,275563,7,4,0
2021-01-03,297715,22141,22133,8,297703,8,4,296249,1466,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,297715,0,0,296238,1465,8,0,3,1,296249,1466,22140,22132,8,1,1,0,0,0,0,0,10270,10496,934,10021,22141,0,274262,274252,6,4,0
2021-01-04,343209,45494,45441,53,343196,9,4,341690,1519,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,343209,0,0,341678,1518,9,0,3,1,341690,1519,45493,45440,53,1,1,0,0,0,0,0,16602,24686,2667,15812,45494,0,301937,301926,7,4,0
2021-01-05,394906,51697,51413,284,394892,10,4,393103,1803,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,394906,0,0,393090,1802,10,0,3,1,393103,1803,51696,51412,284,1,1,0,0,0,0,0,18341,27652,2538,18565,51697,0,304185,304174,8,3,0
2021-01-06,457143,62237,62226,11,457121,16,6,455329,1814,0.005,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,457143,0,0,455308,1813,16,0,5,1,455329,1814,62229,62218,11,6,6,0,2,2,0,0,21511,32965,3421,23156,62237,0,303632,303613,14,5,0
2021-01-07,510939,53796,53775,21,510913,19,7,509104,1835,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,510939,0,0,509079,1834,19,0,6,1,509104,1835,53792,53771,21,3,3,0,1,1,0,0,19674,29338,3047,16421,53796,0,308233,308210,17,6,0
2021-01-08,572620,61681,61347,334,572542,70,8,570451,2169,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,572620,0,0,570374,2168,70,0,7,1,570451,2169,61629,61295,334,51,51,0,1,1,0,0,22349,32447,3367,20986,61681,0,344701,344634,63,4,0
2021-01-09,632321,59701,59553,148,632240,73,8,630004,2317,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,632321,0,0,629924,2316,73,0,7,1,630004,2317,59698,59550,148,3,3,0,0,0,0,0,25801,25923,2683,25106,59701,0,356747,356677,66,4,0
2021-01-10,667424,35103,34953,150,667335,81,8,664957,2467,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,667424,0,0,664870,2465,80,1,7,1,664957,2467,35095,34946,149,8,7,1,0,0,0,0,15133,14556,1372,12990,35103,0,369709,369632,73,4,0
2021-01-11,734750,67326,67219,107,734647,93,10,732176,2574,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,734750,0,0,732081,2566,86,7,9,1,732176,2574,67312,67211,101,12,6,6,2,2,0,0,25058,31382,3208,20459,67326,0,391541,391451,84,6,0
2021-01-12,812793,78043,77976,67,812675,108,10,810152,2641,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,812793,0,0,810042,2633,101,7,9,1,810152,2641,78028,77961,67,15,15,0,0,0,0,0,28182,42162,2995,24957,78043,0,417887,417783,98,6,0
2021-01-13,923229,110436,110234,202,921941,1278,10,920386,2843,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,923229,0,0,919106,2835,1271,7,9,1,920386,2843,109266,109064,202,1170,1170,0,0,0,0,0,39472,57506,3903,35608,110436,0,466086,464820,1262,4,0
2021-01-14,1006058,82829,82639,190,999628,6420,10,1003025,3033,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1006058,0,0,996647,2981,6369,51,9,1,1003025,3033,77687,77541,146,5142,5098,44,0,0,0,0,29636,42257,2284,24124,82829,0,495119,488715,6401,3,0
2021-01-15,1096230,90172,89322,850,1084533,11682,15,1092347,3883,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1096230,0,0,1080702,3831,11631,51,14,1,1092347,3883,84905,84055,850,5262,5262,0,5,5,0,0,33922,44572,3959,27739,90172,0,523610,511991,11612,7,0
2021-01-16,1153389,57159,56137,1022,1140011,13362,16,1148484,4905,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1153389,0,0,1135158,4853,13311,51,15,1,1148484,4905,55478,54456,1022,1680,1680,0,1,1,0,0,24258,24954,2131,19596,57159,0,521068,507771,13289,8,0
2021-01-17,1201463,48074,30302,17772,1186825,14621,17,1178786,22677,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1201463,0,0,1164200,22625,14570,51,16,1,1178786,22677,46814,29042,17772,1259,1259,0,1,1,0,0,20466,20375,2025,19746,48074,0,534039,519490,14540,9,0
2021-01-18,1283295,81832,66041,15791,1264514,18763,18,1244827,38468,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1283295,0,0,1226100,38414,18710,53,17,1,1244827,38468,77689,61900,15789,4142,4140,2,1,1,0,0,29279,42881,2222,20356,81832,0,548545,529867,18670,8,0
2021-01-19,1402266,118971,82529,36442,1379815,22425,26,1327356,74910,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1402266,0,0,1304963,74852,22368,57,25,1,1327356,74910,115301,78863,36438,3662,3658,4,8,8,0,0,37037,62085,3608,30943,118971,0,589473,567140,22317,16,0
2021-01-20,1534776,132510,77970,54540,1509581,25166,29,1405326,129450,0.017,0.002,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1534776,0,0,1380189,129392,25109,57,28,1,1405326,129450,129766,75226,54540,2741,2741,0,3,3,0,0,48311,64071,4243,42235,132510,0,611547,587640,23888,19,0
2021-01-21,1640117,105341,64071,41270,1612187,27901,29,1469397,170720,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1640117,0,0,1441526,170661,27843,58,28,1,1469397,170720,102606,61337,41269,2735,2734,1,0,0,0,0,42074,48464,4449,34117,105341,0,634059,612559,21481,19,0
2021-01-22,1741855,101738,68282,33456,1711731,30087,37,1537679,204176,0.018,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1741855,0,0,1507618,204113,30025,62,36,1,1537679,204176,99544,66092,33452,2186,2182,4,8,8,0,0,43899,45386,3607,34447,101738,0,645625,627198,18405,22,0
2021-01-23,1828574,86719,40711,46008,1798092,30442,40,1578390,250184,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1828574,0,0,1547972,250120,30379,63,39,1,1578390,250184,86361,40354,46007,355,354,1,3,3,0,0,37718,37100,3401,27274,86719,0,675185,658081,17080,24,0
2021-01-24,1876059,47485,25654,21831,1845374,30641,44,1604044,272015,0.019,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1876059,0,0,1573423,271951,30578,63,43,1,1604044,272015,47282,25451,21831,199,199,0,4,4,0,0,23888,19078,917,15066,47485,0,674596,658549,16020,27,0
2021-01-25,1967014,90955,52285,38670,1934911,32056,47,1656329,310685,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1967014,0,0,1624293,310618,31990,66,46,1,1656329,310685,89537,50870,38667,1415,1412,3,3,3,0,0,40720,41565,3496,25135,90955,0,683719,670397,13293,29,0
