country,indicator,date,value
Austria,Daily hospital occupancy,2020-04-01,856
Austria,Daily hospital occupancy,2020-04-02,823
Austria,Daily hospital occupancy,2020-04-03,829
Austria,Daily hospital occupancy,2020-04-04,826
Austria,Daily hospital occupancy,2020-04-05,712
Austria,Daily hospital occupancy,2020-04-06,824
Austria,Daily hospital occupancy,2020-04-07,857
Austria,Daily hospital occupancy,2020-04-08,829
Austria,Daily hospital occupancy,2020-04-09,820
Austria,Daily hospital occupancy,2020-04-10,771
Austria,Daily hospital occupancy,2020-04-11,790
Austria,Daily hospital occupancy,2020-04-12,792
Austria,Daily hospital occupancy,2020-04-13,742
Austria,Daily hospital occupancy,2020-04-14,759
Austria,Daily hospital occupancy,2020-04-15,769
Austria,Daily hospital occupancy,2020-04-16,729
Austria,Daily hospital occupancy,2020-04-17,682
Austria,Daily hospital occupancy,2020-04-18,647
Austria,Daily hospital occupancy,2020-04-19,613
Austria,Daily hospital occupancy,2020-04-20,611
Austria,Daily hospital occupancy,2020-04-21,560
Austria,Daily hospital occupancy,2020-04-22,524
Austria,Daily hospital occupancy,2020-04-23,508
Austria,Daily hospital occupancy,2020-04-24,495
Austria,Daily hospital occupancy,2020-04-25,460
Austria,Daily hospital occupancy,2020-04-26,449
Austria,Daily hospital occupancy,2020-04-27,439
Austria,Daily hospital occupancy,2020-04-28,425
Austria,Daily hospital occupancy,2020-04-29,386
Austria,Daily hospital occupancy,2020-04-30,372
Austria,Daily hospital occupancy,2020-05-01,348
Austria,Daily hospital occupancy,2020-05-02,314
Austria,Daily hospital occupancy,2020-05-03,308
Austria,Daily hospital occupancy,2020-05-04,309
Austria,Daily hospital occupancy,2020-05-05,314
Austria,Daily hospital occupancy,2020-05-06,321
Austria,Daily hospital occupancy,2020-05-07,268
Austria,Daily hospital occupancy,2020-05-08,258
Austria,Daily hospital occupancy,2020-05-09,230
Austria,Daily hospital occupancy,2020-05-10,219
Austria,Daily hospital occupancy,2020-05-11,211
Austria,Daily hospital occupancy,2020-05-12,205
Austria,Daily hospital occupancy,2020-05-13,188
Austria,Daily hospital occupancy,2020-05-14,180
Austria,Daily hospital occupancy,2020-05-15,165
Austria,Daily hospital occupancy,2020-05-16,158
Austria,Daily hospital occupancy,2020-05-17,149
Austria,Daily hospital occupancy,2020-05-18,151
Austria,Daily hospital occupancy,2020-05-19,143
Austria,Daily hospital occupancy,2020-05-20,137
Austria,Daily hospital occupancy,2020-05-21,156
Austria,Daily hospital occupancy,2020-05-22,128
Austria,Daily hospital occupancy,2020-05-23,116
Austria,Daily hospital occupancy,2020-05-24,108
Austria,Daily hospital occupancy,2020-05-25,108
Austria,Daily hospital occupancy,2020-05-26,95
Austria,Daily hospital occupancy,2020-05-27,84
Austria,Daily hospital occupancy,2020-05-28,77
Austria,Daily hospital occupancy,2020-05-29,78
Austria,Daily hospital occupancy,2020-05-30,75
Austria,Daily hospital occupancy,2020-05-31,70
Austria,Daily hospital occupancy,2020-06-01,68
Austria,Daily hospital occupancy,2020-06-02,62
Austria,Daily hospital occupancy,2020-06-03,66
Austria,Daily hospital occupancy,2020-06-04,65
Austria,Daily hospital occupancy,2020-06-05,55
Austria,Daily hospital occupancy,2020-06-06,55
Austria,Daily hospital occupancy,2020-06-07,52
Austria,Daily hospital occupancy,2020-06-08,65
Austria,Daily hospital occupancy,2020-06-09,65
Austria,Daily hospital occupancy,2020-06-10,63
Austria,Daily hospital occupancy,2020-06-11,67
Austria,Daily hospital occupancy,2020-06-12,60
Austria,Daily hospital occupancy,2020-06-13,62
Austria,Daily hospital occupancy,2020-06-14,57
Austria,Daily hospital occupancy,2020-06-15,64
Austria,Daily hospital occupancy,2020-06-16,66
Austria,Daily hospital occupancy,2020-06-17,60
Austria,Daily hospital occupancy,2020-06-18,64
Austria,Daily hospital occupancy,2020-06-19,68
Austria,Daily hospital occupancy,2020-06-20,66
Austria,Daily hospital occupancy,2020-06-21,61
Austria,Daily hospital occupancy,2020-06-22,59
Austria,Daily hospital occupancy,2020-06-23,57
Austria,Daily hospital occupancy,2020-06-24,59
Austria,Daily hospital occupancy,2020-06-25,60
Austria,Daily hospital occupancy,2020-06-26,60
Austria,Daily hospital occupancy,2020-06-27,61
Austria,Daily hospital occupancy,2020-06-28,62
Austria,Daily hospital occupancy,2020-06-29,66
Austria,Daily hospital occupancy,2020-06-30,58
Austria,Daily hospital occupancy,2020-07-01,65
Austria,Daily hospital occupancy,2020-07-02,62
Austria,Daily hospital occupancy,2020-07-03,65
Austria,Daily hospital occupancy,2020-07-04,60
Austria,Daily hospital occupancy,2020-07-05,62
Austria,Daily hospital occupancy,2020-07-06,67
Austria,Daily hospital occupancy,2020-07-07,81
Austria,Daily hospital occupancy,2020-07-08,66
Austria,Daily hospital occupancy,2020-07-09,66
Austria,Daily hospital occupancy,2020-07-10,71
Austria,Daily hospital occupancy,2020-07-11,68
Austria,Daily hospital occupancy,2020-07-12,73
Austria,Daily hospital occupancy,2020-07-13,74
Austria,Daily hospital occupancy,2020-07-14,74
Austria,Daily hospital occupancy,2020-07-15,86
Austria,Daily hospital occupancy,2020-07-16,83
Austria,Daily hospital occupancy,2020-07-17,88
Austria,Daily hospital occupancy,2020-07-18,87
Austria,Daily hospital occupancy,2020-07-19,85
Austria,Daily hospital occupancy,2020-07-20,96
Austria,Daily hospital occupancy,2020-07-21,96
Austria,Daily hospital occupancy,2020-07-22,93
Austria,Daily hospital occupancy,2020-07-23,87
Austria,Daily hospital occupancy,2020-07-24,86
Austria,Daily hospital occupancy,2020-07-25,85
Austria,Daily hospital occupancy,2020-07-26,82
Austria,Daily hospital occupancy,2020-07-27,79
Austria,Daily hospital occupancy,2020-07-28,74
Austria,Daily hospital occupancy,2020-07-29,74
Austria,Daily hospital occupancy,2020-07-30,87
Austria,Daily hospital occupancy,2020-07-31,84
Austria,Daily hospital occupancy,2020-08-01,70
Austria,Daily hospital occupancy,2020-08-02,73
Austria,Daily hospital occupancy,2020-08-03,92
Austria,Daily hospital occupancy,2020-08-04,84
Austria,Daily hospital occupancy,2020-08-05,90
Austria,Daily hospital occupancy,2020-08-06,92
Austria,Daily hospital occupancy,2020-08-07,93
Austria,Daily hospital occupancy,2020-08-08,96
Austria,Daily hospital occupancy,2020-08-09,99
Austria,Daily hospital occupancy,2020-08-10,92
Austria,Daily hospital occupancy,2020-08-11,94
Austria,Daily hospital occupancy,2020-08-12,93
Austria,Daily hospital occupancy,2020-08-13,92
Austria,Daily hospital occupancy,2020-08-14,91
Austria,Daily hospital occupancy,2020-08-15,83
Austria,Daily hospital occupancy,2020-08-16,65
Austria,Daily hospital occupancy,2020-08-17,91
Austria,Daily hospital occupancy,2020-08-18,97
Austria,Daily hospital occupancy,2020-08-19,101
Austria,Daily hospital occupancy,2020-08-20,95
Austria,Daily hospital occupancy,2020-08-21,90
Austria,Daily hospital occupancy,2020-08-22,94
Austria,Daily hospital occupancy,2020-08-23,93
Austria,Daily hospital occupancy,2020-08-24,112
Austria,Daily hospital occupancy,2020-08-25,114
Austria,Daily hospital occupancy,2020-08-26,118
Austria,Daily hospital occupancy,2020-08-27,121
