date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23556,23556,23556,0,23556,0,0,23556,0,2.8e-4,0,8645,7751,1280,13144,8645,7751,1280,13144,0,0,0,0,23556,0,0,8645,7751,1280,13144,NA,NA,NA,NA
2020-12-28,42302,18746,18746,0,42302,0,0,42302,0,5.1e-4,0,16437,15100,2012,21997,16437,15100,2012,21997,0,0,0,0,18746,0,0,7792,7349,732,8853,NA,NA,NA,NA
2020-12-29,84882,42580,42580,0,84882,0,0,84882,0,0.00102,0,28902,36629,3090,38675,28902,36629,3090,38675,0,0,0,0,42580,0,0,12465,21529,1078,16678,NA,NA,NA,NA
2020-12-30,142826,57944,57944,0,142826,0,0,142826,0,0.00172,0,46296,68028,4688,59576,46296,68028,4688,59576,0,0,0,0,57944,0,0,17394,31399,1598,20901,NA,NA,NA,NA
2020-12-31,181346,38520,38520,0,181346,0,0,181346,0,0.00218,0,59354,86646,6499,74895,59354,86646,6499,74895,0,0,0,0,38520,0,0,13058,18618,1811,15319,NA,NA,NA,NA
2021-01-01,206101,24755,24755,0,206101,0,0,206101,0,0.00248,0,67104,96611,7574,87496,67104,96611,7574,87496,0,0,0,0,24755,0,0,7750,9965,1075,12601,NA,NA,NA,NA
2021-01-02,257946,51845,51845,0,257946,0,0,257946,0,0.0031,0,86352,120259,10053,108482,86352,120259,10053,108482,0,0,0,0,51845,0,0,19248,23648,2479,20986,257946,257946,0,0
2021-01-03,282936,24990,24990,0,282936,0,0,282936,0,0.0034,0,96179,131115,10983,119125,96179,131115,10983,119125,0,0,0,0,24990,0,0,9827,10856,930,10643,259380,259380,0,0
2021-01-04,331544,48608,48608,0,331544,0,0,331544,0,0.00399,0,111413,156131,13643,135036,111413,156131,13643,135036,0,0,0,0,48608,0,0,15234,25016,2660,15911,289242,289242,0,0
2021-01-05,383931,52387,52387,0,383931,0,0,383931,0,0.00462,0,127630,183595,16078,153221,127630,183594,16078,153221,0,1,0,0,52387,0,0,16217,27464,2435,18185,299049,299049,0,0
