date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,24119,24119,23982,137,24119,0,0,23982,137,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24119,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42504,18385,18385,0,42504,0,0,42367,137,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,18385,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,91178,48674,48085,589,91178,0,0,90452,726,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,48674,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,152350,61172,61168,4,152350,0,0,151620,730,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,61172,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,201466,49116,48999,117,201466,0,0,200619,847,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,49116,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,220740,19274,19274,0,220739,0,1,219893,847,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,19273,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,273350,52610,52394,216,273349,0,1,272287,1063,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,52610,0,0,21566,24282,2520,20957,273350,273349,0,1
2021-01-03,297437,24087,24087,0,297436,0,1,296374,1063,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,24087,0,0,10270,10496,934,10021,273318,273317,0,1
2021-01-04,345778,48341,48341,0,345777,0,1,344715,1063,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,48341,0,0,16602,24686,2667,15812,303274,303273,0,1
2021-01-05,399131,53353,53330,23,399129,1,1,398045,1086,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,53352,1,0,18341,27652,2538,18565,307953,307951,1,1
